IDENTIF_SECT,IDENTIF_HOG,AREA_5000,AREA_2000,CIUDAD_AUTO,PROVINCIA,ZDP,REGION,CIUDAD,ZONA,SECTOR,VIVIENDA,HOGAR,PERIODO,GA01,GA02A,GA02B,GA03,FEXP,REGIONAL,FASE
010150001011,010150001011011,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,1,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150001011,010150001011021,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,2,1,Noviembre 2013,2,Si, ,2,98.756593288199,Sur,Fase 1
010150001011,010150001011031,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,3,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150001011,010150001011041,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,4,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150001011,010150001011051,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,5,1,Noviembre 2013,2,Si, ,2,98.756593288199,Sur,Fase 1
010150001011,010150001011061,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,6,1,Noviembre 2013,2,Si, ,2,98.756593288199,Sur,Fase 1
010150001011,010150001011071,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,7,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150001011,010150001011081,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,8,1,Noviembre 2013,2,Si, ,2,98.756593288199,Sur,Fase 1
010150001011,010150001011091,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,9,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150001011,010150001011111,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,11,1,Noviembre 2013,2,Si, ,2,98.756593288199,Sur,Fase 1
010150001011,010150001011121,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,1,11,12,1,Noviembre 2013,1,Si, ,1,98.756593288199,Sur,Fase 1
010150002004,010150002004011,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,1,1,Noviembre 2013,2,Si, ,2,108.632252617019,Sur,Fase 1
010150002004,010150002004031,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,3,1,Noviembre 2013,2,Si, ,2,108.632252617019,Sur,Fase 1
010150002004,010150002004041,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,4,1,Noviembre 2013,2,Si, ,2,108.632252617019,Sur,Fase 1
010150002004,010150002004051,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,5,1,Noviembre 2013,1,Si, ,1,108.632252617019,Sur,Fase 1
010150002004,010150002004071,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,7,1,Noviembre 2013,1,Si, ,1,108.632252617019,Sur,Fase 1
010150002004,010150002004081,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,8,1,Noviembre 2013,1,Si, ,1,108.632252617019,Sur,Fase 1
010150002004,010150002004091,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,9,1,Noviembre 2013,1,Si, ,1,108.632252617019,Sur,Fase 1
010150002004,010150002004101,Urbano,Urbano,Cuenca,Azuay,Zona 6,Sierra,10150,2,4,10,1,Noviembre 2013,5,Si, ,1,108.632252617019,Sur,Fase 1
