ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|1|F|TUNGURAHUA|AMBATO|2121162,1000|1074352,1800|0,0000|3804821,5700|338727,1500|701821,8300|90776,1200|4936146,6700|3197003,5700
2022|1|C|SUCUMBIOS|LAGO AGRIO|1269754,5700|269475,0900|0,0000|899487,4100|303935,1500|0,0000|4724,7400|1208147,3000|1540550,2600
2022|1|S|TUNGURAHUA|AMBATO|1176604,2900|1023088,0000|0,0000|1005708,4100|444951,5500|3544159,5200|6421,5500|5001241,0300|2202537,4400
2022|1|F|CHIMBORAZO|RIOBAMBA|825788,1700|23237,5700|0,0000|2529889,1800|434800,0600|1972,5500|20976,4300|2987638,2200|850067,0500
2022|1|C|MANABI|PICHINCHA|34363,3100|7565,2200|0,0000|9454,8900|23513,6300|0,0000|0,0000|32968,5200|41928,5300
2022|1|C|MANABI|SUCRE|23193,4300|338540,0200|10357972,8200|848695,5700|9433605,9600|77038,5300|26464,3500|10385804,4100|10719706,2700
2022|1|Q|ESMERALDAS|ESMERALDAS|58915,3900|203939,6900|0,0000|482233,0300|257820,7500|379,0200|2775,5000|743208,3000|262935,0800
2022|1|I|GUAYAS|NARANJAL|87389,9100|12419,4700|0,0000|57052,5100|24441,6500|0,0000|0,0000|81494,1600|99809,3800
2022|1|F|GUAYAS|SAN JACINTO DE YAGUACHI|566129,5000|4982,8600|0,0000|456050,4700|11183,9000|0,0000|12261,4000|479495,7700|571112,3600
2022|1|A|COTOPAXI|LA MANA|422151,8800|4640950,5900|0,0000|653657,8000|2271631,3300|3525,0000|128470,8300|3057284,9600|5063122,4700
2022|1|A|CARCHI|MIRA|233,0000|492997,3200|285525,9800|143459,8500|308599,9800|0,0000|2439,3400|454499,1700|778756,3000
2022|1|P|TUNGURAHUA|AMBATO|318302,3800|5494628,0300|18048,8000|2873211,3800|504960,6000|9915,0200|6907,8600|3394994,8600|5831210,0300
2022|1|O|LOJA|LOJA|287938,8100|508567,9100|0,0000|1227755,6500|67039,8600|0,0000|4682,5800|1299478,0900|796506,7200
2022|1|M|PASTAZA|MERA|228266,5900|915,6100|100,0000|56506,3900|5819,5100|0,0000|0,0000|62325,9000|229282,2000
2022|1|Q|LOJA|LOJA|691937,8900|2979720,8400|0,0000|1598087,9300|2074024,1700|0,0000|16232,1300|3688344,2300|3672008,7300
2022|1|G|GALAPAGOS|SANTA CRUZ|2383151,5000|1108751,8900|0,0000|2216807,8700|1207730,1400|22843,2900|11405,7100|3458787,0100|3495844,8900
2022|2|M|MANABI|MONTECRISTI|810685,5000|53736,9300|0,0000|464998,8700|46004,5000|2446,1900|1433,3600|526406,9100|865522,4300
2022|2|C|MANABI|JUNIN|4465,2000|75695,2600|0,0000|4932,0600|78927,2200|0,0000|0,0000|83859,2800|80160,4700
2022|2|C|GUAYAS|DURAN|66307153,5100|186195556,7400|52054305,0400|48380725,4100|109777445,9000|132732542,1800|149789,8500|292133645,2300|305425234,7700
2022|2|M|PASTAZA|PASTAZA|462106,8200|83898,8600|0,0000|454472,4900|86384,6100|4355,9500|1242,1700|546455,2200|552461,3100
2022|2|R|MANABI|SANTA ANA|1004,5000|660,0200|0,0000|1193,7200|0,0100|0,0000|0,0000|1193,7300|1664,5200
2022|2|F|ZAMORA CHINCHIPE|EL PANGUI|8340855,7200|10504,2300|0,0000|1725793,9800|640842,9200|185418,4700|1664,7200|2553720,0900|8351359,9500
